ID,meranaw_proverb,literal_translation_meranaw,english_translation,interpretation,augmented_interpretation,Theme
12,"O sa imanto aya na sarombakat so bagul a dii makasonsanga ko kalodan o selangan na o di phorongi mantang a kisanggolay na lagi na
 pethimbangaros so ig na phangenepan so ragat na mataros a mabolos so panginam ko donya na ayaden khasabapan sa katarantana 
maog o pamoreg o bangnsa. Na mapatola mabengkas so kapenggiginawai na kanogon o marandang a go so pephagingedon ka aya 
khatamananon na sa di ron makakendan na maka pendinganoman ko oriayano kasendit","We are now faced with various challenges and opposing waves that strike us from all directions. If we are not
 careful and allow ourselves to be drowned in worldly things, we might sacrifice our kinship and love for each other. 
Truly, conflicts will arise and we will regret at the end.","We are now faced with various challenges and opposing waves 
that strike us from all directions. If we are not careful and allow
 ourselves to be drowned in worldly things, we might sacrifice our 
kinship and love for each other. Truly, conflicts will arise and we
 will regret at the end.","The speaker acknowledges that life is filled with difficulties, represented by ""opposing waves"" that come from all directions, symbolizing the 
various pressures, temptations, and conflicts we encounter. These challenges can distract us from what truly matters—our kinship, love,
and unity with others. The message warns that if we let ourselves get lost in material pursuits or external distractions, we might lose 
sight of our bonds with loved ones. Eventually, conflicts will arise, and we might regret not having prioritized our relationships and 
shared love over worldly matters.","Life is acknowledged as full of challenges, like 'opposing waves,' representing pressures and conflicts that can distract us from family, love, and unity. The message cautions against letting material things or distractions overshadow our relationships, warning of potential regret and conflict if we don't prioritize our bonds with loved ones.""",Leadership
13,To ba lalan so korang na asar a pimbitakan,Apiya ditano makowa so nganin tano na asar ka pinggalebek tano so miyagaga tano.,"Even if we fall short of what is expected, what is important is that we have done our best.","This emphasizes the value of effort over perfection. Leadership is about striving to do your best, even if you don’t always meet external expectations. 
What matters most is your dedication and commitment to giving your all, rather than the outcome alone.","This stresses the importance of effort over perfect results. Leadership means trying your hardest, even if you don't always meet outside expectations. Dedication and commitment are more important than just the final result.""",Leadership
14,Na tomo den so kidalong a di so kipamalata.,Masetomo so sikreto adi so pekhabinayar.,Better to die than to lose one’s honor.,"This expresses the idea that personal integrity and honor are more valuable than life itself. In leadership, maintaining respect, honor, and principles is
considered paramount, and losing one’s honor is seen as a fate worse than death.","Personal integrity and honor are presented as more valuable than life. In leadership, upholding respect, honor, and principles is essential, and losing one's honor is considered a terrible outcome.""",Leadership/Personal Integrity
15,Saden sa mibasokan ka na aya ngka den map’ragon.,Tonaa e piyamolangka na ayanga den mapragon.,What you sow is what you reap.,"This emphasizes the importance of actions and their consequences. Leaders who act with integrity, kindness, and wisdom will likely see positive 
outcomes, while those who act selfishly or dishonestly will face negative repercussions. It's a reminder that your actions shape your future.","This highlights that actions have consequences. Leaders who are honest, kind, and wise will likely have positive results, while selfish or dishonest leaders will face negative consequences. Your actions influence your future.""",Leadership/Personal Integrity
16,Di ka makapantaw ko pangkatan a maporo o ding ka kapanagadi so toto a maregen,"Dinga den maraot so pinakamaporo oda ka makasagad sa karumasayan.
",You will never reach the green spot of success unless you pass the hills of sacrifice.,"Success doesn’t come without effort and sacrifice. Leadership requires perseverance through challenges and hardships. To achieve the rewards of 
success, one must be willing to sacrifice comfort, time, or resources to reach their goals.","""Success requires effort and sacrifice. Leadership demands perseverance through difficulties. Achieving success means being willing to give up comfort, time, or resources.""",Leadership/Personal Integrity
17,"So alongan ko palaw a mindomarenang kilat a salindaw a pheranti ko phimarandang a inged na so kiyasigay niyan sa probinsya 
ranon na ino pen da masawang e kipyapagayawayaw o layagen sa Sonoran ka ayaden so gaimpit e asal a pamagayan.",Na amay pn ka madalmon anan.,"When one is good, it will be no surprise if he becomes a leader.","Leadership is earned through qualities like goodness, fairness, and wisdom. If someone consistently demonstrates positive traits, it is natural for them 
to be seen as a leader. Goodness in character and actions often naturally leads to leadership roles, as others will trust and respect them.

","""Leadership is gained through qualities like goodness, fairness, and wisdom. Consistently showing positive traits leads to being seen as a leader. Good character and actions naturally result in leadership as others trust and respect you.""",Leadership/Personal Integrity
18,Da mabilaw a taw o da a masarakanen.,Daa makowa a mapya oda a panagontaman.,"No guts, no glory.","This emphasizes the need for courage in facing challenges. In conflict resolution, taking decisive action, standing up for what’s right, and being brave 
enough to address issues head-on is necessary to achieve meaningful outcomes. Without courage, there’s little chance for success or positive change."," ""Courage is essential for overcoming challenges. In resolving conflicts, decisive action, standing up for what's right, and addressing issues directly are needed for positive results. Without courage, success and change are unlikely.""",Conflict Resolution
19,Aya betad a rido na pepaeganda andain ka mabalon bo a ridaw sa pekaelanggay a ridaw.,"So khaphapawala na kabegan sa oras a kapakalenggaw niyan ka sabenar a sa kapakaipos o oras na makanggiginawae bo.
","Conflict, if given a cooling off time, As time goes eventually Will be solved.","This speaks to the importance of allowing time and space in conflict resolution. Sometimes, stepping back and allowing emotions to cool can help resolve 
conflicts naturally over time. It suggests that patience and a calm perspective can eventually lead to solutions without escalating the issue.

","Time and space are important in resolving conflicts. Stepping back to let emotions subside can help conflicts resolve themselves. Patience and a calm approach can lead to solutions without making the issue worse.""",Conflict Resolution
20,Palandong ko so rinaw na o peman o ba saleg na lebi a bantak aken.,Kabaya aken so kalilintad ogaid na o pakhaowa so nganin a dita kathawan odina a dita kabaya na makakaiketiyar ako.,I crave for peace But if trouble comes (not of my own will) Then I will be ready for it.,"This reflects a desire for peace but also readiness to face challenges or conflict when necessary. It highlights that one should always strive for harmony but 
be prepared to confront conflict if it arises, especially if it’s imposed by external circumstances.","This shows a wish for peace but also a readiness to face challenges or conflict. It's important to seek harmony but be prepared to confront conflict, especially if forced by outside situations.""",Conflict Resolution
21,Idadawag da rido na bariwanger maregen.,Igira mipagoobayingka na mapya kaon atao na omakatalikod ka na marata kaon pman.,"The giving is apparently with no trouble, But covertly there is deep regret.","This statement refers to the idea that sometimes, offering help or assistance may seem effortless to others, but internally, the giver may experience regret 
or resentment. This could indicate the hidden emotional cost of actions or compromises made for the sake of peace or harmony, even 
if they appear simple on the surface.","""Helping others may seem easy, but the giver might feel regret or resentment inside. This suggests there can be hidden emotional costs to actions or compromises made for peace, even if they seem simple.""
",Conflict Resolution
22,So sangibo a ranan na piatay o tademan.,So madakl a galbk a mapya na pkhadaan sa Bali ko satiman a karibatan.,All good deeds will be forgotten with a single mistake,"This reflects the unfortunate reality that people often remember a single mistake more than a series of good actions. In the context of conflict resolution or 
leadership, one error can overshadow a history of positive deeds, emphasizing the need for careful decision-making and maintaining trust and integrity.","""People often remember one mistake more than many good actions. In conflict resolution or leadership, a single error can overshadow past good deeds, highlighting the need for careful decisions and maintaining trust.""",Conflict Resolution
23,Madabo so pezepot na somambi so tademan.,"Oba mada so kapagagos iyan, na pesendit sa oriyan.
",With the loss of power comes The loss of influence If not for good deeds.,"This suggests that power and influence are fleeting unless they are built on a foundation of good deeds and genuine relationships. This could imply that 
people who use their power wisely and act with integrity can maintain influence, even after losing formal authority, whereas those who rely solely on their 
power may lose influence when their authority fades.","Power and influence are temporary without good deeds and real relationships. People who use power wisely and with integrity can keep influence even after losing authority, while those who only rely on power may lose influence when their authority ends.""",Conflict Resolution
24,Aya kaka sa lalag na so ago katiger.,So pamimikiran o mga lokes na matiger.,It is wiser to be patient and self controlled.,"This encourages taking a calm, measured approach when dealing with conflict. Instead of reacting impulsively or emotionally, it’s wiser to practice patience 
and self-control. Emotional restraint helps avoid escalation and allows for clearer thinking and better decisions.

","Take a calm and thoughtful approach to conflict. Instead of reacting quickly or emotionally, be patient and control yourself. Emotional restraint prevents escalation and allows for clearer thinking.""",Conflict Resolution
25,So bawing a ketesen na amay bo ka ketesen na makathathaginesa.,"So bawing na aya ropaan iyan na badoten ron, na amay ka biyadot kawn na ba badn kailot so kikakabed iyan ko lopa. ",True strength lies in deep roots that resist being uprooted.,"Real strength comes from having a solid foundation — whether it’s values, principles, or relationships. This can mean having a strong sense of self or 
strong support systems that help you stay grounded, even in the face of adversity. Strong roots help you withstand challenges without being easily swayed 
or ""uprooted.""","""True strength comes from a strong foundation, like values, principles, or relationships. This can mean having a strong sense of self or support that helps you stay grounded during challenges. Strong roots help you resist being easily influenced or shaken.""",Conflict Resolution
26,Ding ka pezarayaten ko kadandan o madakel ka kepanen ko kanggaring ko kaisa-isa o bangsa.,Banga tharo sa kalangkapan ka sabnar na maiilot so gagaw ago babaya ka'an maisaisa so bangsa.,"You are part of a larger clan, do not destroy the bond by giving them the same","This emphasizes the importance of unity and the collective good. It’s easy to retaliate or mirror negative behavior, but this statement advises against doing 
so. It encourages resolving conflicts in ways that preserve relationships and bonds, especially within families, teams, or communities. If you harm the group 
by mimicking bad behavior, you weaken the connection and trust.","Unity and the good of the group are important. While it's easy to retaliate, this advises against it. Resolve conflicts in ways that protect relationships, especially in families or communities. Copying bad behavior hurts the group's connection and trust.""",Conflict Resolution
28,Baden malengga so ig na maoma o misabar.,"Oway ka malombat so ig, ogaid na matatangked a pakaoma ko angin iyan asar ka matao numayaw.",Patience leads to rewards—good things come to those who wait.,"This reinforces the idea that patience, especially in conflict situations, ultimately leads to positive outcomes. In conflict resolution, rushing into decisions or 
trying to force an outcome can often cause more harm than good. Taking the time to understand the situation, consider all perspectives, and allow things to 
unfold can lead to better, lasting results.","""Patience, especially in conflicts, leads to good results.Rushing decisions in conflict resolution can cause harm. Taking time to understand the situation and consider all sides leads to better, lasting solutions.""",Conflict Resolution
29,"Ba ino ko tinindeg so mamaan sa lawi-an ka ba aken phamanika, ino aken biyorod ka phagamas-amasen ko o benar a matilpa.","Ba ino aken pephamagidaana ka ba ko phangaromaa, dii aken khana-kanan ka phag-ilain ko o mapiya a mipshorot.","I am courting her, not necessarily with the intention of marrying her. I am only trying to sense 
her behavior if it is compatible with my behavior, in case I decide.","Courtship is seen here as a process of observation and discernment, not a binding commitment. The speaker is trying to assess compatibility, suggesting t
hat marriage should be based on mutual understanding rather than haste or pressure. It reflects a cautious and thoughtful approach to love.

","""Courtship is viewed as a time for observation and getting to know someone, not an obligation to marry.The speaker is evaluating if they are a good match, suggesting marriage should be based on understanding, not rushing. This shows a careful approach to love.""",Courtship/Marriage
30,"Awa ka san da’ thobaw ka di ka palandong a dar, na iseg ka da’ sharo-ar ka di ka bantak a siri.",Hay bago a mama a da pen shinempek! Di ako ngka den pipikira ka kena o kala ka ipekha baya-i ko.,"Vanish from here poor boy for you have no place in my heart (meaning, the woman does not 
find in him her ideal man)","This expresses a rejection rooted in standards or preferences. It reveals the woman's autonomy in choosing a partner, emphasizing that love or courtship is 
not simply about effort or persistence—it also depends on emotional and personal fit.","""This is a rejection based on personal standards or preferences. It shows the woman's right to choose her partner, highlighting that love isn't just about trying hard—it also depends on emotional and personal connection.""",Courtship/Marriage
31,"Ino ako di gampang ka di ako pendarapa ka maka bolog ta koris na 
ron ta on bo kharoshang.",Ino ako di madakel i kapamagidaan ka aya tindeg aken na tibolog bo a koris aken na aya ko den maphangaroma.,I am not a teaser because I trust destiny should be meant for me at an appointed time.,"The speaker distances themselves from casual or playful romantic intentions, trusting that true love will come at the right time. This reflects faith in fate or 
destiny, and a belief in sincere, purposeful relationships.","""The speaker avoids casual romance, believing that true love will happen at the right time.This shows faith in destiny and a belief in serious, meaningful relationships.""",Courtship/Marriage
32,Ino ka mbo-bolothow ago ka phapanayangan a di ka pen mbi-binentay ka an ka mapamagayaw.,Ino ka manoronsorong a di ka mayag sa lalag ka salamaten ami seka.,"What made you hesitant? Please propose it to us so we may welcome and make ourselves 
available to you.","This shows openness and receptivity from the family or woman’s side, possibly encouraging a suitor who is delaying his intentions. It emphasizes 
communication and suggests that a respectful, formal approach will be met with hospitality and consideration.","""This shows the family or woman is welcoming, possibly encouraging a suitor who is hesitating. It stresses communication and suggests a respectful, formal approach will be received well.""",Courtship/Marriage
33,"So palaw na miphalaw sa ishik a palaw niyan na ipag-isha ko aya o 
pira soson pira lad ka an kami ron di sawang a mapa-pangka kami 
ron.","Pakaisha ini o ina o babay… “So menang o miyakasowa ago mala i adat na ipagesa ami o 
bana kakekes o mahar iyan ka anami manggeda-geda o kalotang ami.","Career woman with a good family background is difficult to reach. Therefore, we are asking if her 
dowry can be negotiated so we will be encouraged to give her.","This reveals socioeconomic dynamics in courtship and marriage—especially in contexts where dowries or bride prices are still practiced. It acknowledges 
that a woman of high status may be seen as 'hard to reach' and introduces the idea of negotiating traditional expectations to make union more attainable.","This shows social and economic factors in courtship and marriage, especially where dowries are involved. It notes that a high-status woman may seem 'unattainable' and suggests negotiating traditional expectations to make marriage possible.""",Courtship/Marriage
34,"Pamomolan ka den so pamomolan sa Ranaw na asar a ron bo 
taman a kasa-sapada ngka on na di ka malang sa koris.","Dii ngka den tharo-a a pagidaan ka sekaniyan na asar a roron bo taman na di ka bo mamaka 
alang ko ped a phangaroma a giyoto i tithow a koris a ngkai a warisan ami.","You may proudly declare her to be your darling, but your love cannot prevent her from meeting her 
fate as to whom she will marry.","This highlights the limits of romantic claims—that no matter how much one declares love, destiny or the woman’s ultimate choice may lead her elsewhere. 
It’s a reminder that love doesn’t guarantee marriage, and that fate or circumstances beyond one's control may prevail.","This emphasizes that romantic declarations have limits—destiny or the woman's choice might lead her away. Love doesn't ensure marriage, and fate or circumstances can take over.""",Courtship/Marriage
36,"Ba ino ko kinowir ka ba ko tanto khowira, kinowi-kowir aken ka 
kinowir ako niyan.","Ba ino aken dii shasanda-sandagan sa di tanto ka ba adena pamikiran ko ron ka malo ko dii shandagan kagiya a 
pekasipatan aken.","I do not intend to treat her with any degree of seriousness simply because I caressed her. This is 
the reason I am so close to her, as she was the first to come close.","This expresses a lack of genuine romantic intention. The speaker clarifies that physical closeness does not mean emotional commitment—it’s simply a 
response to her initial interest. It serves as a warning: not all intimacy means sincerity.","This shows a lack of real romantic feelings. The speaker says physical closeness doesn't equal emotional commitment—it was just a response to her interest. This warns that intimacy doesn't always mean sincerity.""",Courtship/Marriage
37,"An a linang bolawan a o di kapag-imani sa iman a samporna na 
maka dorat i lalag, na an matag sapo a margen a lipatan ka di ta 
niyan ndoraten.","Aden a mapiya a taw a o di ngka ka-iktiyari na phag-akalen ka niyan na aden peman a di tanto 
mapiya a taw a margen o ba ta kalipati ka di ta niyan phag-akalan.","There are nobles around but beware of them cheating you, while there are ignobles or 
commoners you cannot forget about their being loyal, sincere, and not deceptive.","This challenges social expectations by suggesting that status does not equal virtue. Nobility may come with hidden deceit, while commoners may offer 
genuine love and honesty. It promotes valuing character over social rank in choosing a life partner.","This questions social norms by saying status doesn't equal goodness. Nobles might be deceitful, while commoners can offer true love and honesty. It encourages choosing a partner based on character, not social status.",Courtship/Marriage
38,Ino ako man di kerit ka palad ako komrit na panga-tatalokhaban.,Ino ako di pethanto ka o saken i mbinentay na di den pendorat na miya pangaroma ko.,I do not propose because the moment I make my proposal (for marriage) I am certain to be accepted.,"This statement could be read as confidence or caution. The speaker may feel assured of the woman’s acceptance, but delays proposing perhaps due to 
deeper considerations, such as readiness or timing. It implies that commitment is a serious step, not to be taken lightly.","This can be seen as confidence or caution. The speaker might be sure of the woman's acceptance but delays proposing due to reasons like readiness or timing. Commitment is a serious decision, not to be rushed.",Courtship/Marriage
39,Thataman sa pintran so alambet a korikod,Mithaman so khagaga ko -da den a shogotan pen o bager aken.,I cannot do or give more than I can afford.,"This shows honesty and humility. It acknowledges financial or emotional limitations, and the speaker refuses to overextend or make promises they can’t 
keep. In courtship or marriage, this is a plea for realistic expectations and sincerity.","This shows honesty and humility. The speaker admits to limitations and refuses to make false promises. In courtship or marriage, this is a request for realistic expectations and sincerity.",Courtship/Marriage
40,"Ba ko mbethowa oran so matag pekhi rapirik a mapay so tagawalay 
na da salangkapa o ig, aya mbethon a oran na domshang sa 
sadshang na lomiyangkap sa Ranaw.","So matag ba den bantaan na da a totogo niyan aya tithow a benar na miyaka mapayag sa lalag 
na kiya tokawan o mbala-bala ko phowaris","Do not expect so much when there is no assurance that the assumption is not good. 
However, a sincere proposal will be known to all close relatives.","This warns against building hopes on uncertain intentions. Unless there’s a clear, formal, and sincere proposal—especially one known and approved by 
family—it’s wise not to assume anything. It underscores the cultural value of family involvement in serious relationships.","This warns against hoping for something without clear intentions. Without a formal, sincere proposal, especially one the family knows and approves of, don't assume anything. It emphasizes the cultural importance of family in serious relationships.",Courtship/Marriage
41,"Ba ta den phaka sayan ko papanok ko shagadan a kereken a 
tagamen a layamen pagakalan.",Aya kabebetadan raken na matag kasablawan a dii thatalo-talowan ka aya on den kaplayama ka sabap sa phag-akalen.,"I may be treated as a pet to be tamed for a hobby and pastime, only to realize that I was deceived.","This reflects emotional betrayal. The speaker feels they may be used or led on, only to later find that the affection was not genuine. It serves as a caution 
against being toyed with emotionally, especially in one-sided or playful courtships.

","This shows emotional betrayal. The speaker feels used or misled, discovering that the affection wasn't real. It warns against being emotionally manipulated, especially in unequal or casual courtships.",Courtship/Marriage
42,"Mapiya pen sotra i tataman sa leb aken, na thomo on ko so kindang 
a miphanali-kombong ko.","Mapiya pen mapiya a taw i mapangaroma ko a di ako niyan bo matingki (ko adat ago parangay), 
na thomoon aken den so koma-kalilid a taw amiphangangarig aken (so kapiya niyan i adat-parangay).","Being a member of royalty is insufficient reason for a lady to be accepted into a marriage. It is best 
to choose an everyday man who is responsible and capable of providing for his family.","Status doesn’t guarantee suitability. Practicality, character, and the ability to provide outweigh noble birth. The proverb critiques shallow criteria in choosing 
a spouse, promoting values-based partnership over prestige.","Status doesn't ensure a good match. Practicality, character, and the ability to provide are more important than being noble. This proverb criticizes choosing a partner based on prestige, advocating for values-based relationships.",Courtship/Marriage
43,"Mapiya anda phoon i bagiyo a lengaleng na di ko paka ondasen ka 
balawagan ko sa gas na bonsodan ko sa itil.",Mapiya anda den phaka poon so phangalang raken na pagrenen aken.,I shall remove any impediments in my path by building stumbling stones in his path.,"This shows competitive or spiteful intent in love or rivalry. It implies one may sabotage a rival in courtship just to advance their own chances—reflecting 
themes of jealousy or aggressive pursuit in love.",This shows competitive or malicious intent in love. It suggests someone might,Courtship/Marriage
44,Bilang a taw so dato o maonda so pemba-i.,Mapiya so mama o mapiya so babay a darodopa.,"The man, or husband, should be a good man if the woman, or wife, is a good woman.","This emphasizes balance and moral compatibility. A good woman deserves a good man. It promotes equal responsibility and character matching in a 
marriage.","This stresses the importance of balance and having similar morals in a marriage. A good woman deserves a good man, and both should share responsibility and have compatible characters.",Courtship/Marriage
45,Ba gopen a taw si mandar ka o sabapen sa isa.,Ba di ako den mawiyag o di misabap sa isa taw.,"I can only succeed and live if I am not dependent on anyone. I trust Allah and myself 
more than anyone else!","This shows self-reliance and spiritual trust. In marriage or courtship, it reflects the speaker’s belief in not being reliant on others for their worth or success—
possibly as a response to failed relationships or expectations.","This shows being independent and trusting in faith. In marriage or dating, it reflects the speaker's belief in not depending on others for their value or success, possibly because of past bad relationships.",Courtship/Marriage
46,Ba den rangkap so takil a ika-sarampong iyan.,Ba den ped ko kambata-bataa a maka didiyabo ron.,"What is the use of becoming a member of a family, group, or community when one may only 
bring chaos and disorder?","This reflects concern for harmony and peace. It warns against choosing a partner (or joining a union) if one only contributes negativity or division—
marriage is about building, not breaking.",This shows worry about peace and harmony. It warns against choosing a partner (or getting into a relationship) if that person only brings negative feelings or causes arguments—marriage should be about building a positive life together.,Courtship/Marriage
47,Koma-kasar di ngganding si romi-rindong powisan.,"Pephangabaya na di niyan bo phayagen, na so kapephagma iyan na kiya lapisan.","You may be silently in love, and your silence has made you supplant.","Unspoken love leads to missed chances. The speaker regrets staying silent, letting someone else take their place. A warning: If you love, say it before it’s 
too late.","If you don't say you love someone, you might miss your chance. The speaker regrets not speaking up and letting someone else get the person they wanted. A warning: if you have feelings for someone, tell them before it's too late.",Courtship/Marriage
48,Katombar so madakel na loya so sasatiman.,"Baden aki madakel so mama, na aya bo tanto mama.","There are lot of men, but only one of them is the real man (capable and doer of good work).","Quality over quantity in potential partners. A real man is not just male by gender, but by responsibility, action, and integrity.
","It's better to have a few good potential partners than many who aren't right. A true man is defined not just by being male, but by being responsible, taking action, and having strong morals.",Courtship/Marriage
49,O mbes o ba so di ngka na di ka mindatomanong.,Opama ka so di ngka pekha babayaan na aya ngka makowa odi na mapangaroma na di ka miyaka kowa sa mimbatowa.,"If only you got what you did not expect, then it would be far better.","Unexpected blessings in love are often the most genuine. Sometimes, the person or outcome you didn’t plan for turns out to be the most fulfilling.","The best love often comes when you least expect it. Sometimes, the person or the way things work out that you didn't plan can make you the happiest.",Courtship/Marriage
50,Ita-tangkap ka den a papanok ka so nori a mapay so samber iyan na da ngka ra-ota sengaw.,Tatarimaan ka den a pagidaan ka sekaniyan a da den ma-aros o ba ngka mimbitiyara-i.,"You are certain that you have been loving her, when you have not even proposed to her your love 
(not even talk to her because of shyness).","Love must be expressed, not hidden. This criticizes passive admiration—loving from afar doesn’t count if it isn’t communicated.","You need to show your love, not keep it secret. This criticizes just admiring someone from a distance—it doesn't count as love if you don't communicate i",Courtship/Marriage
51,Ino ko peranona i diyalendeg a pakal a an a bonsalo iyan a da a kipantag iyan.,Ino aken ay phangabaya-i i aden a pa-awing iyan.,Why should I love and court her when she is useless and her character is tainted?,"Character is central in choosing a partner. The speaker refuses to pursue someone they believe lacks virtue. It reflects moral standards and the value of a 
good reputation.",The most important thing when choosing a partner is their character. The speaker won't be with someone they think isn't virtuous. This shows the importance of moral standards and having a good reputation.,Courtship/Marriage
52,Ino ko di thangkeda a papanok ko so nori a mapiya anda ndapo na kasa-sampirotan ko.,Ino aken dii tharo-a a pagidaan aken ka mapiya antona-a den i manggolaola na mao-ona ko den ko poso iyan.,"Why should I not be certain of her being mine? For no matter what, I am in the chamber of her 
heart (meaning, she loves him very much).","This reflects confidence in mutual love. The speaker is certain of the woman’s feelings, even without public commitment. It’s about emotional security and 
trust in her affection.","This shows confidence in shared love. The speaker is sure of the woman's feelings, even without a public commitment. It's about feeling emotionally secure and trusting her love.",Courtship/Marriage
